,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
3224,Tweet,bitterclingerpa,4527,5002,106,56581,,,,bitterclingerpa,46932,51280,45,290635,,,
3225,Tweet,ashestodust80,614,488,1,22212,,,,ashestodust80,46932,51280,45,290635,,,
3226,Tweet,skyfall1776,1050,1863,0,9063,,,,skyfall1776,46932,51280,45,290635,,,
3227,Tweet,julianawriter,2009,2021,102,71749,,,,julianawriter,46932,51280,45,290635,,,
3228,Tweet,o0Ying0o,108,121,0,554,,,,o0Ying0o,46932,51280,45,290635,,,
3229,Tweet,JoaquinFChavez,221,374,1,1783,,,,JoaquinFChavez,46932,51280,45,290635,,,
3230,RT,Josef1961s,160,589,9,8044,,,,TelemundoNews,733078,903,2891,138754,,,
3231,RT,Snappah1,1594,1942,0,66734,,,,freenaynow,46932,51280,45,290635,,,
3232,RT,mariamcg20,15659,14342,2,30495,,,,mpukita,62740,67242,17,68882,,,
3233,Tweet,Jerkzilla,26,80,1,2100,,,,Jerkzilla,62740,67242,17,68882,,,
3234,Tweet,maniseku,1155,1118,4,144387,,,,maniseku,62740,67242,17,68882,,,
3235,RT,justpraisin,4400,4436,8,8931,,,,freenaynow,46932,51280,45,290635,,,
3236,RT,MikeNapier5,1189,2598,0,12456,,,,freenaynow,46932,51280,45,290635,,,
3237,RT,JEPbyLor,3398,2666,1,52374,,,,SauerBread,242,170,9,1789,,,
3238,RT,challengersma,29229,28065,24,48489,,,,mpukita,62740,67242,17,68882,,,
3239,Tweet,jkBaltzersen,889,2207,8,19687,,,,jkBaltzersen,62740,67242,17,68882,,,
3240,Tweet,NotByMight91,1907,4659,26,18595,,,,NotByMight91,62740,67242,17,68882,,,
3241,RT,MyLifeIsMunitz,8335,7592,36,31670,,,,BrandNew535,43019,1304,465,7521,,,
