,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
2886,RT,truthglow,17968,18443,909,811528,,,,philosophrob,25220,1470,104,3563,,,
2887,RT,truthglow,17968,18443,909,811528,,,,philosophrob,25220,1470,104,3563,,,
2888,RT,truthglow,17968,18443,909,811528,,,,philosophrob,25220,1470,104,3563,,,
2889,Tweet,clubhouselawyer,608,343,5,14350,,,,clubhouselawyer,25220,1470,104,3563,,,
2890,Tweet,politicozzie,107,205,1,4590,,,,politicozzie,25220,1470,104,3563,,,
2891,Tweet,JamesFrye,4401,806,75,32518,,,,JamesFrye,25220,1470,104,3563,,,
2892,Tweet,DanaBoos3,4323,4295,10,370855,,,,DanaBoos3,25220,1470,104,3563,,,
2893,RT,Josie_is_music,112,178,0,295,,,,IAMphillysw,1795,2601,5,807,,,
2894,RT,Josie_is_music,112,178,0,295,,,,MichaelCoudrey,208989,93,1540,8414,,,
2895,Tweet,HipHoopin,2016,3652,12,10298,,,,HipHoopin,208989,93,1540,8414,,,
2896,Tweet,stacymiddleton1,182,913,0,10057,,,,stacymiddleton1,208989,93,1540,8414,,,
2897,RT,KelliJanssks,5654,4892,1,24073,,,,Americasian1,8731,7078,2,10264,,,
2898,Tweet,NambiarVin,466,927,0,7322,,,,NambiarVin,8731,7078,2,10264,,,
2899,Tweet,mugenop2,25,123,1,2477,,,,mugenop2,8731,7078,2,10264,,,
2900,Tweet,LTheChief19,778,1076,6,18617,,,,LTheChief19,8731,7078,2,10264,,,
2901,Tweet,AmadeusTalks,3,43,0,389,,,,AmadeusTalks,8731,7078,2,10264,,,
2902,Tweet,cedantarmatog1,860,1018,25,58593,,,,cedantarmatog1,8731,7078,2,10264,,,
2903,Tweet,ntmessage,1701,3136,2,30782,,,,ntmessage,8731,7078,2,10264,,,
2904,RT,michaelsolakiew,2100,3757,10,173400,,,,TeamTrump,1458219,101,3451,18565,,,
2905,Tweet,Tweet4Yang,22,11,0,235,,,,Tweet4Yang,1458219,101,3451,18565,,,
2906,Tweet,CatCatCat626,7,3,0,116,,,,CatCatCat626,1458219,101,3451,18565,,,
2907,RT,troyrudd,12225,3605,210,30526,,,,blakeleymusic,2000,441,18,15905,,,
2908,Tweet,Iachicus,6,66,0,188,,,,Iachicus,2000,441,18,15905,,,
2909,RT,jdandur2,1526,1826,28,25696,,,,blakeleymusic,2000,441,18,15905,,,
2910,RT,rjbisart,950,708,15,7147,,,,DanElliott1976,65,477,0,2994,,,
2911,RT,ALiberalLatina,557,1729,1,8765,,,,bruhhnope,161,416,1,780,,,
2912,RT,PleasantJDeMoss,93,419,1,1737,,,,blakeleymusic,2000,441,18,15905,,,
2913,Tweet,AntonPagi,2941,574,67,50702,,,,AntonPagi,2000,441,18,15905,,,
2914,Tweet,blakeleymusic,2000,441,18,15905,,,,blakeleymusic,2000,441,18,15905,,,
2915,RT,StarRid59206085,557,1026,0,5328,,,,AnnInquirer,21552,17245,26,77215,,,
2916,Tweet,gerberianshepsk,1398,2151,68,49022,,,,gerberianshepsk,21552,17245,26,77215,,,
2917,Tweet,progressive_tms,100,952,0,233,,,,progressive_tms,21552,17245,26,77215,,,
2918,Tweet,mattyfalardeau,15,198,0,224,,,,mattyfalardeau,21552,17245,26,77215,,,
2919,RT,ARealHughMann,1034,406,10,12107,,,,thereald0tt,857,1118,10,4836,,,
2920,Tweet,cjrosey4,772,884,47,20546,,,,cjrosey4,857,1118,10,4836,,,
2921,RT,uncouthrecluse,35,94,0,416,,,,TopBerner,57,180,2,981,,,
2922,Tweet,bsbigsexy77,183,293,0,9383,,,,bsbigsexy77,57,180,2,981,,,
2923,RT,nwgoboating,30860,30606,8,42649,,,,Americasian1,8731,7078,2,10264,,,
2924,Tweet,thekinkydevil,61,153,0,2289,,,,thekinkydevil,8731,7078,2,10264,,,
2925,Tweet,Xavier_TTL,58,72,8,2049,,,,Xavier_TTL,8731,7078,2,10264,,,
2926,Tweet,iquischnox,1147,3194,5,10883,,,,iquischnox,8731,7078,2,10264,,,
2927,Tweet,stacymiddleton1,182,913,0,10057,,,,stacymiddleton1,8731,7078,2,10264,,,
2928,RT,solkonstrukt,195,1072,6,2435,,,,solkonstrukt,195,1072,6,2435,,,
2929,Tweet,thereald0tt,857,1118,10,4836,,,,thereald0tt,195,1072,6,2435,,,
2930,RT,ADavidMaldonado,70,251,2,1889,,,,Euse_PR,293,425,15,11289,,,
2931,RT,marymcg7,66,863,4,3838,,,,TopBerner,57,180,2,981,,,
2932,Tweet,AaronKenawell92,151,280,6,2476,,,,AaronKenawell92,57,180,2,981,,,
2933,Tweet,uvamix,76,55,2,2334,,,,uvamix,57,180,2,981,,,
2934,Tweet,Euse_PR,293,425,15,11289,,,,Euse_PR,57,180,2,981,,,
2935,Tweet,AaronKenawell92,151,280,6,2476,,,,AaronKenawell92,57,180,2,981,,,
2936,Tweet,SamJust1776,3412,4020,0,865,,,,SamJust1776,57,180,2,981,,,
2937,RT,Brisonmills,444,494,3,21083,,,,TopBerner,57,180,2,981,,,
2938,Tweet,TopBerner,57,180,2,981,,,,TopBerner,57,180,2,981,,,
2939,RT,sayarita,916,1291,102,63146,,,,bruhhnope,161,416,1,780,,,
2940,Tweet,solkonstrukt,195,1072,6,2435,,,,solkonstrukt,161,416,1,780,,,
2941,RT,Brendag38323989,5646,5366,78,291842,,,,TeamTrump,1458219,101,3451,18565,,,
2942,Tweet,AuthorBevJames,8742,8978,144,13404,,,,AuthorBevJames,1458219,101,3451,18565,,,
2943,RT,IntrovertAncom,1800,3776,4,14609,,,,BeauTFC,13721,86,56,3025,,,
2944,Tweet,SoapBoxinCA,737,323,8,28755,,,,SoapBoxinCA,13721,86,56,3025,,,
2945,RT,DoodlesTrks,4465,4794,5,195887,,,,TeamTrump,1458219,101,3451,18565,,,
2946,Tweet,GayPatriotTM,7759,5533,68,27440,,,,GayPatriotTM,1458219,101,3451,18565,,,
2947,Tweet,RobbinMilne,833,1041,28,29044,,,,RobbinMilne,1458219,101,3451,18565,,,
2948,RT,RoxannMenard,2417,2553,0,50528,,,,NetAdvisor,80732,54559,640,59205,,,
2949,RT,jason_meister,12954,2762,52,6271,,,,TeamTrump,1458219,101,3451,18565,,,
2950,RT,katchase,2618,3210,7,13778,,,,AnnInquirer,21552,17245,26,77215,,,
2951,RT,DwightCooper16,14133,15113,20,250565,,,,Americasian1,8731,7078,2,10264,,,
2952,RT,LydiaLynn89,23332,22950,11,112211,,,,Americasian1,8731,7078,2,10264,,,
2953,Tweet,Residue2020,1948,2768,16,51291,,,,Residue2020,8731,7078,2,10264,,,
2954,RT,HuffakerBrad,8250,8830,1,21257,,,,Americasian1,8731,7078,2,10264,,,
2955,Tweet,t0n1h1ll,66,340,1,2050,,,,t0n1h1ll,8731,7078,2,10264,,,
2956,RT,Gina4DJT2020,36546,36733,7,95084,,,,Americasian1,8731,7078,2,10264,,,
2957,RT,liruian,334,1035,4,4022,,,,PuestoLoco,41097,4929,583,359517,,,
2958,RT,Clipper48900430,729,64,0,34044,,,,DanMuskin,50588,28619,27,1488,,,
2959,RT,True_J_Stevens,2311,2707,0,7256,,,,Americasian1,8731,7078,2,10264,,,
