A_handle,B_handle,type
Quercuas,Quercuas,Tweet
WeenieLinguini,NothingSirius,RT
WeenieLinguini,flatearth_fact,RT
WeenieLinguini,l4meira,RT
WeenieLinguini,IAMAWAKE8,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,flatearth_fact,RT
BlazeHunter14,WakeTFU2017,RT
metalbeaterman,kingbob71,RT
NothingSirius,NothingSirius,Tweet
Metrek13043,Wifizoom,RT
Thor_52,grilabo,RT
flatearth_fact,flatearth_fact,Tweet
l4meira,l4meira,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
