A_handle,B_handle,type
Magagog,TRWLI,RT
Janitor_Who,Janitor_Who,Tweet
chrisquisbert,ABurdiez,RT
CallMeEOnly,CallMeEOnly,Tweet
flatearth_fact,flatearth_fact,Tweet
ABurdiez,ABurdiez,Tweet
TibeluthedT,TibeluthedT,Tweet
TRWLI,TRWLI,Tweet
BotSiduri,TheSnappyFish,RT
Flat_Earth_Real,flatearth_fact,RT
DiegoLoyola_G,DiegoLoyola_G,Tweet
TheSnappyFish,TheSnappyFish,Tweet
Kompadontgiveup,FlatEarthDoc,RT
flatearth_fact,flatearth_fact,Tweet
WeenieLinguini,HumanityWake,RT
WeenieLinguini,grilabo,RT
WeenieLinguini,DrEllisJaruzel,RT
WeenieLinguini,DanielB59756947,RT
WeenieLinguini,Constitution_NH,RT
HumanityWake,HumanityWake,Tweet
grilabo,grilabo,Tweet
Quercuas,stopAnnoyinDave,RT
Quercuas,Quercuas,Tweet
nickschmidt2012,TrustFlatEarth,RT
DrEllisJaruzel,DrEllisJaruzel,Tweet
konarch01,flat_earth_fans,RT
IAMAWAKE8,IAMAWAKE8,Tweet
SolarElectrics,SolarElectrics,Tweet
umustry,EisF7,RT
DanielB59756947,DanielB59756947,Tweet
Constitution_NH,Constitution_NH,Tweet
TheEart85510282,EisF7,RT
Z6ATL,Z6ATL,Tweet
MEConstitution,MozCharles,RT
arhs25,arhs25,Tweet
HiddenMountain7,HiddenMountain7,Tweet
gjvbf2,Wifizoom,RT
wiretechgirl,DAPFpodcast,RT
flatearth_fact,flatearth_fact,Tweet
Kompadontgiveup,ABurdiez,RT
Veganearther,TRWLI,RT
MozCharles,MozCharles,Tweet
WeenieLinguini,TPiatta,RT
WeenieLinguini,stopAnnoyinDave,RT
WeenieLinguini,Thor_52,RT
WeenieLinguini,alkha6af_88,RT
WeenieLinguini,LFnord,RT
WeenieLinguini,flatearth_fact,RT
mvcolor,TrustFlatEarth,RT
FlatEarthReal2,TrustFlatEarth,RT
FlatEarthReal2,AlkisBahattin,RT
FlatEarthReal2,TrustFlatEarth,RT
TPiatta,TPiatta,Tweet
Royal_Time,EFT_Seattle,RT
hwassi1,UnCastellsMes,RT
EFT_Seattle,Spacehehehe,RT
EFT_Seattle,EFT_Seattle,RT
Flat_Earth_Real,flatearth_fact,RT
0ooze1,goofy_1_goofy,RT
stopAnnoyinDave,stopAnnoyinDave,Tweet
16sara_1,grilabo,RT
PlanaBogota,FlatEarthDoc,RT
Thor_52,Thor_52,Tweet
SamuraiPizzaCop,SamuraiPizzaCop,Tweet
kakurenyorugata,alvinbryan21,RT
kakurenyorugata,Genghis91239952,RT
kakurenyorugata,harmayani_fe,RT
alkha6af_88,alkha6af_88,Tweet
LFnord,LFnord,Tweet
dadrakushun,kozonakamuratv,RT
alkha6af_88,alkha6af_88,Tweet
kakurenyorugata,itsFlat5,RT
dadrakushun,grilabo,RT
flatearth_fact,flatearth_fact,Tweet
kakurenyorugata,MiringuNjoroge,RT
TibeluthedT,TibeluthedT,Tweet
kakurenyorugata,Spacehehehe,RT
kakurenyorugata,flat_earth_fans,RT
MattyDHarris784,talktalkpaul,RT
WeenieLinguini,LordConcave,RT
WeenieLinguini,UnCastellsMes,RT
WeenieLinguini,dmanguemusic,RT
WeenieLinguini,Physicsgirl777,RT
WeenieLinguini,PapaFlerf,RT
WeenieLinguini,Constitution_NH,RT
BotSiduri,Illustrations4k,RT
BotSiduri,JrgenJnssn1,RT
BotSiduri,Constitution_NH,RT
BotSiduri,Physicsgirl777,RT
BotSiduri,dmanguemusic,RT
BotSiduri,LordConcave,RT
NuckChorris16,UnCastellsMes,RT
LordConcave,LordConcave,Tweet
UnCastellsMes,UnCastellsMes,Tweet
dmanguemusic,dmanguemusic,Tweet
alibratarian,harmayani_fe,RT
FlatEarthRT,PapaFlerf,RT
Physicsgirl777,Physicsgirl777,Tweet
PapaFlerf,PapaFlerf,Tweet
Constitution_NH,Constitution_NH,Tweet
haifa_rabie,Wifizoom,RT
MEConstitution,PeaceWTF,RT
MEConstitution,JrgenJnssn1,RT
7thDayRock,ClimateCritic18,RT
JrgenJnssn1,JrgenJnssn1,Tweet
flatearthmoon,flatearthmoon,Tweet
PeaceWTF,PeaceWTF,Tweet
WeenieLinguini,Illustrations4k,RT
LizzyKNewDay1,ClimateCritic18,RT
tajarob3,EisF7,RT
berrydon16,TrustFlatEarth,RT
icehawkstudios,chudcomedy,RT
TheEart85510282,EisF7,RT
SinghJavida,ClimateCritic18,RT
tajarob3,EisF7,RT
The__Rare,EisF7,RT
TheDalaiLamaCon,ClimateCritic18,RT
konarch01,grilabo,RT
TheEart85510282,EisF7,RT
TheEart85510282,EisF7,RT
bijal_shah,bijal_shah,Tweet
Illustrations4k,Illustrations4k,Tweet
pansuyu88,carstenbreum,RT
DrBattyEyes,PeaceWTF,RT
WeenieLinguini,TibeluthedT,RT
WeenieLinguini,JrgenJnssn1,RT
WeenieLinguini,UCoruscant,RT
WeenieLinguini,MasterDebateNet,RT
TheEart85510282,EisF7,RT
TibeluthedT,TibeluthedT,Tweet
hideo1358,TrustFlatEarth,RT
JrgenJnssn1,JrgenJnssn1,Tweet
PoliBard,ClimateCritic18,RT
BotSiduri,MasterDebateNet,RT
BotSiduri,UCoruscant,RT
wolfmanmike47,wolfmanmike47,Tweet
UCoruscant,UCoruscant,Tweet
MasterDebateNet,MasterDebateNet,Tweet
Mabdullah131807,Wifizoom,RT
CynicaloldB,ClimateCritic18,RT
Stark_Delicious,TrustFlatEarth,RT
ojmorgs,TrustFlatEarth,RT
chanceboudreaux,ClimateCritic18,RT
TeeEightchSea,ClimateCritic18,RT
WeenieLinguini,Constitution_NH,RT
WeenieLinguini,AustralisPiper,RT
WeenieLinguini,BubbaGoBucs,RT
WeenieLinguini,Wifizoom,RT
WeenieLinguini,velonavia,RT
ShaunWatchorn,ShaunWatchorn,Tweet
k7omm1hY6nHZyTz,Wifizoom,RT
Constitution_NH,Constitution_NH,Tweet
MEConstitution,velonavia,RT
MEConstitution,BubbaGoBucs,RT
MEConstitution,AustralisPiper,RT
MEConstitution,HujumesipeT,RT
anonymous4835,harmayani_fe,RT
AustralisPiper,AustralisPiper,Tweet
ErikaCan4,flat_earth_fans,RT
al7aker,al7aker,Tweet
flatearthmoon,flatearthmoon,Tweet
TheEart85510282,Wifizoom,RT
BubbaGoBucs,BubbaGoBucs,Tweet
Royal_Time,Wifizoom,RT
IAMAWAKE8,IAMAWAKE8,Tweet
Wifizoom,Wifizoom,Tweet
velonavia,velonavia,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
IAMAWAKE8,IAMAWAKE8,Tweet
WeenieLinguini,6O___o,RT
WeenieLinguini,FeRealitat,RT
6O___o,6O___o,Tweet
safetysaunge,safetysaunge,Tweet
safetysaunge,ClimateCritic18,RT
_Shaggs3,ClimateCritic18,RT
lime_link,AngelsFreak7,RT
FeRealitat,FeRealitat,Tweet
RebeccaWarnefo2,ClimateCritic18,RT
GavinWi53583503,ClimateCritic18,RT
sleddriver73,DestroyFE,RT
BotSiduri,netmyller,RT
BotSiduri,HujumesipeT,RT
AdFreeTalkRadio,AngelsFreak7,RT
Flat67823361,DSL1912,RT
getshittyshow,AngelsFreak7,RT
machineislearnt,machineislearnt,Tweet
jeepndad,HujumesipeT,RT
bas5min,HujumesipeT,RT
WeenieLinguini,netmyller,RT
WeenieLinguini,HujumesipeT,RT
WeenieLinguini,Janitor_Who,RT
WeenieLinguini,AngelsFreak7,RT
WeenieLinguini,kingbob71,RT
WeenieLinguini,Constitution_NH,RT
Royal_Time,FlatEarthDoc,RT
netmyller,netmyller,Tweet
HujumesipeT,HujumesipeT,Tweet
altunes402,harmayani_fe,RT
FlatEarthRT,AngelsFreak7,RT
JohnEva73484270,ClimateCritic18,RT
Janitor_Who,Janitor_Who,Tweet
AngelsFreak7,AngelsFreak7,Tweet
kingbob71,kingbob71,Tweet
Constitution_NH,Constitution_NH,Tweet
ConstitutionNd,ConstitutionOR,RT
MEConstitution,AussieDe,RT
MEConstitution,HujumesipeT,RT
kingbob71,kingbob71,Tweet
AussieDe,AussieDe,Tweet
ArseniKarp,KelvinCasamayor,RT
ArseniKarp,rob_freddy,RT
ArseniKarp,honjackhellsin,RT
ArseniKarp,Life_910,RT
WeenieLinguini,KelvinCasamayor,RT
MurrayJones28,ClimateCritic18,RT
