,type,A_handle,A_follower_count,A_following_count,A_listed_count,A_posts,A_network_feature_1,A_network_feature_2,A_network_feature_3,B_handle,B_follower_count,B_following_count,B_listed_count,B_posts,B_network_feature_1,B_network_feature_2,B_network_feature_3
229,RT,lblackny,131,418,9,4154,,,,Mimirocah1,388492,2536,2160,12984,,,
230,RT,lesleys_1,380,279,0,27421,,,,ChrisMurphyCT,889424,204,5713,20734,,,
231,RT,patriehecky,747,1377,2,98176,,,,emptywheel,220601,4308,4869,271462,,,
232,RT,lesleys_1,380,279,0,27421,,,,ChrisMurphyCT,889424,204,5713,20734,,,
233,RT,Bell1981Gwyneth,1052,2784,0,4705,,,,LukeBrussel,8540,8997,39,10173,,,
234,Tweet,FryWells,61,571,0,7677,,,,FryWells,8540,8997,39,10173,,,
235,Tweet,brooklandsco_op,1303,1363,12,93083,,,,brooklandsco_op,8540,8997,39,10173,,,
236,RT,PeggyAbrahamson,244,619,2,13533,,,,Mimirocah1,388492,2536,2160,12984,,,
237,RT,MeaPharaoh,60,273,0,14345,,,,Mimirocah1,388492,2536,2160,12984,,,
238,RT,queenfancygirl,168,320,7,66075,,,,BarbMcQuade,305362,1000,1495,3476,,,
239,RT,benborges_,3393,5001,347,144333,,,,emptywheel,220601,4308,4869,271462,,,
240,Tweet,missjaydee23,1860,2036,52,26438,,,,missjaydee23,220601,4308,4869,271462,,,
241,RT,bjckgtck,61,138,4,23441,,,,emptywheel,220601,4308,4869,271462,,,
242,RT,SandiTaylor15,1,14,0,895,,,,TrinityResists,89440,34400,180,101421,,,
243,Tweet,Meggles4111,48,152,0,710,,,,Meggles4111,89440,34400,180,101421,,,
244,Tweet,SJI2783,5669,5919,1,20669,,,,SJI2783,89440,34400,180,101421,,,
245,RT,SensualGemss,12673,12785,3,16122,,,,BarbMcQuade,305362,1000,1495,3476,,,
246,RT,cryborg,29839,23348,103,303686,,,,emptywheel,220601,4308,4869,271462,,,
247,RT,norsemndem,351,693,31,283601,,,,emptywheel,220601,4308,4869,271462,,,
248,Tweet,SmentekEva,2,59,0,482,,,,SmentekEva,220601,4308,4869,271462,,,
249,RT,BluedotGa,1920,1927,35,48801,,,,emptywheel,220601,4308,4869,271462,,,
250,RT,Jodzio,13981,15376,141,326448,,,,emptywheel,220601,4308,4869,271462,,,
251,RT,mudshark58,219,234,51,80932,,,,emptywheel,220601,4308,4869,271462,,,
252,Tweet,BabiesFree,622,1198,6,44241,,,,BabiesFree,220601,4308,4869,271462,,,
253,RT,cslnutritional,1720,1683,32,26129,,,,Mimirocah1,388492,2536,2160,12984,,,
254,RT,jimcombs,708,1545,25,61831,,,,Mimirocah1,388492,2536,2160,12984,,,
255,RT,jvelazquez777,13,96,0,149,,,,ChrisJZullo,144466,135070,1384,49945,,,
256,Tweet,bower_birdy,154,764,3,5757,,,,bower_birdy,144466,135070,1384,49945,,,
257,RT,jimcombs,708,1545,25,61831,,,,BarbMcQuade,305362,1000,1495,3476,,,
258,RT,vandevil555,524,639,5,84097,,,,Mimirocah1,388492,2536,2160,12984,,,
259,RT,AmyAyers16,5796,5600,79,478161,,,,emptywheel,220601,4308,4869,271462,,,
260,RT,cffschroeder,655,559,5,61210,,,,BarbMcQuade,305362,1000,1495,3476,,,
